Key,File,Type,UsedInMainMenu,NoTranslate,english
LearnByUse,progression,Attribute,,,"Learn By Use"
LearnByUseDesc,progression,Attribute,,,"Increase Mining, Scavenging and Weapons stats (eg. Damage and Stamina) by using tools and weapons. Gain an extra Skill Point at level 100 for each Perk."
LearnByUseName,progression,Attribute,,,"Learn By Use"
lbu_DemolitionsExpertName,progression,Perk,,,"Demolitions Expert Skills"
lbu_DemolitionsExpertDesc,progression,Perk,,,"Learn by Use: [Perception] Use any explosives, including Rocket Launchers, to upgrade Demolitions Expert skill points. Increases are applied cumulatively per Level."
lbu_Miner69erName,progression,Perk,,,"Miner69r & MotherLode Skills"
lbu_Miner69erDesc,progression,Perk,,,"Learn by Use: [Strength] Use any axe, pick, shovel, chainsaw or auger to upgrade the Miner69er/MotherLode skill points. Increases are applied cumulatively per Level. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_SalvageName,progression,Perk,,,"Salvage Operation Skills"
lbu_SalvageDesc,progression,Perk,,,"Learn by Use: [Perception] Use any Wrench, Ratchet or Impact Driver to upgrade the Salvage skill points. Increases are applied cumulatively per Level. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_DeadEyeName,progression,Perk,,,"Dead Eye Skills"
lbu_DeadEyeDesc,progression,Perk,,,"Learn by Use: [Perception] Use any Rifle to upgrade the DeadEye skill points. Increases are applied cumulatively per Level."
lbu_SpearMasterName,progression,Perk,,,"Spearmaster Skills"
lbu_SpearMasterDesc,progression,Perk,,,"Learn by Use: [Perception] Use any Spear to upgrade the Spearmaster skill points. Increases are applied cumulatively per Level. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_BoomstickName,progression,Perk,,,"Boomstick Skills"
lbu_BoomstickDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Shotgun to upgrade the Boomstick skill points. Increases are applied cumulatively per Level."
lbu_PummelPeteName,progression,Perk,,,"Pummel Pete Skills"
lbu_PummelPeteDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Club to upgrade the PummelPete skill points. Killing blows grant from 1 to 30 stamina over levels 1-100. There are 2 EntityDamage values shown below - the 2nd one is additional damage when target stunned. There are 2 StaminaLoss values shown below - the 2nd one is for Power Attacks."
lbu_SkullCrusherName,progression,Perk,,,"Skull Crusher Skills"
lbu_SkullCrusherDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Sledgehammer to upgrade the SkullCrusher skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 30 stamina over levels 1-100. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_BrawlerName,progression,Perk,,,"Brawler Skills"
lbu_BrawlerDesc,progression,Perk,,,"Learn by Use: [Fortitude] Use your Fists to upgrade the Brawler skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 30 stamina over levels 1-100. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_MachineGunnerName,progression,Perk,,,"Machine Gunner Skills"
lbu_MachineGunnerDesc,progression,Perk,,,"Learn by Use: [Fortitude] Use any Assault Rifle or Machinegun to upgrade the Machinegunner skill points. Increases are applied cumulatively per Level."
lbu_ArcheryName,progression,Perk,,,"Archery Skills"
lbu_ArcheryDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Bow to upgrade the Archery skill points. Increases are applied cumulatively per Level."
lbu_GunslingerName,progression,Perk,,,"Gunslinger Skills"
lbu_GunslingerDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Handgun or SMG to upgrade the Gunslinger skill points. Increases are applied cumulatively per Level."
lbu_DeepCutsName,progression,Perk,,,"Deep Cuts Skills"
lbu_DeepCutsDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Bladed Weapon to upgrade the DeepCuts skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 30 stamina over levels 1-100. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_ElectrocutionerName,progression,Perk,,,"Electrocutioner Skills"
lbu_ElectrocutionerDesc,progression,Perk,,,"Learn by Use: [Intellect] Use any Baton to upgrade the Electrocutioner skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 30 stamina over levels 1-100. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_RoboticsName,progression,Perk,,,"Robotics Skills"
