Key,File,Type,UsedInMainMenu,NoTranslate,english

quest_tier2_accelerated_annihiliation_name,Quest,Quest Info,,,Tier 2 Infested Speed Clear
quest_tier3_accelerated_annihiliation_name,Quest,Quest Info,,,Tier 3 Infested Speed Clear
quest_tier4_accelerated_annihiliation_name,Quest,Quest Info,,,Tier 4 Infested Speed Clear
quest_tier5_accelerated_annihiliation_name,Quest,Quest Info,,,Tier 5 Infested Speed Clear
quest_tier6_accelerated_annihiliation_name,Quest,Quest Info,,,Tier 6 Infested Speed Clear
quest_accelerated_annihiliation_subtitle,Quest,Quest Info,,,Accelerated Annihiliation
quest_accelerated_annihiliation_description,Quest,Quest Info,,,I need your help clearing out [DECEA3]{poi.name}[-] which is infested with zombies. An operative is inbound and I need it cleared ASAP so I'm paying a bonus for a fast clear.  Get in there and get it done!
quest_tier1_accelerated_annihiliation_offer,Quest,Quest Info,,,I need your help clearing out [DECEA3]{poi.name}[-] which is infested with zombies. An operative is inbound and I need it cleared ASAP so I'm paying a bonus for a fast clear.  Get in there and get it done!
quest_accelerated_annihiliation_statement,Quest,Quest Info,,,Infested Speed Clear
quest_accelerated_annihiliation_response,Quest,Quest Info,,,Infested Speed Clear ([DECEA3]{poi.distance} {poi.direction}[-])
quest_accelerated_annihiliation_completion,Quest,Quest Info,,,Thanks for your help clearing out the zombies - great job!
quest_accelerated_annihiliation_completion_silver,Quest,Quest Info,,,Pretty quick job - nice work! Take some ammo for your efforts.  (Silver Clear)
quest_accelerated_annihiliation_completion_gold,Quest,Quest Info,,,Amazing - I can't believe you took out all the zombies like that!  Take an extra reward on the house! (Gold Clear)
